,File_path,Architecture,Metric,wall_time,step,value
0,tensorboard/cgan_with_dynamic_condition_vector/20-06-2021_08h09m/events.out.tfevents.1624176680.c2fd91fbd355,CGAN with dynamic condition vectors,Classifier/accuracy,1624176685.6145375,0,0.376953125
1,tensorboard/cgan_with_dynamic_condition_vector/20-06-2021_08h09m/events.out.tfevents.1624176680.c2fd91fbd355,CGAN with dynamic condition vectors,Classifier/accuracy,1624176715.3426304,1,0.4091796875
2,tensorboard/cgan_with_dynamic_condition_vector/20-06-2021_08h09m/events.out.tfevents.1624176680.c2fd91fbd355,CGAN with dynamic condition vectors,Classifier/accuracy,1624176744.915418,2,0.5849609375
3,tensorboard/cgan_with_dynamic_condition_vector/20-06-2021_08h09m/events.out.tfevents.1624176680.c2fd91fbd355,CGAN with dynamic condition vectors,Classifier/accuracy,1624176774.2274823,3,0.634765625
4,tensorboard/cgan_with_dynamic_condition_vector/20-06-2021_08h09m/events.out.tfevents.1624176680.c2fd91fbd355,CGAN with dynamic condition vectors,Classifier/accuracy,1624176803.7078638,4,0.4814453125
5,tensorboard/cgan_with_dynamic_condition_vector/20-06-2021_08h09m/events.out.tfevents.1624176680.c2fd91fbd355,CGAN with dynamic condition vectors,Classifier/accuracy,1624176833.1093981,5,0.6953125
6,tensorboard/cgan_with_dynamic_condition_vector/20-06-2021_08h09m/events.out.tfevents.1624176680.c2fd91fbd355,CGAN with dynamic condition vectors,Classifier/accuracy,1624176862.5123618,6,0.734375
7,tensorboard/cgan_with_dynamic_condition_vector/20-06-2021_08h09m/events.out.tfevents.1624176680.c2fd91fbd355,CGAN with dynamic condition vectors,Classifier/accuracy,1624176891.9324439,7,0.6982421875
8,tensorboard/cgan_with_dynamic_condition_vector/20-06-2021_08h09m/events.out.tfevents.1624176680.c2fd91fbd355,CGAN with dynamic condition vectors,Classifier/accuracy,1624176921.4215715,8,0.6826171875
9,tensorboard/cgan_with_dynamic_condition_vector/20-06-2021_08h09m/events.out.tfevents.1624176680.c2fd91fbd355,CGAN with dynamic condition vectors,Classifier/accuracy,1624176950.9069283,9,0.6904296875
10,tensorboard/cgan_with_dynamic_condition_vector/20-06-2021_08h09m/events.out.tfevents.1624176680.c2fd91fbd355,CGAN with dynamic condition vectors,Classifier/accuracy,1624176980.487415,10,0.607421875
11,tensorboard/cgan_with_dynamic_condition_vector/20-06-2021_08h09m/events.out.tfevents.1624176680.c2fd91fbd355,CGAN with dynamic condition vectors,Classifier/accuracy,1624177010.0078046,11,0.740234375
12,tensorboard/cgan_with_dynamic_condition_vector/20-06-2021_08h09m/events.out.tfevents.1624176680.c2fd91fbd355,CGAN with dynamic condition vectors,Classifier/accuracy,1624177039.5467212,12,0.71875
13,tensorboard/cgan_with_dynamic_condition_vector/20-06-2021_08h09m/events.out.tfevents.1624176680.c2fd91fbd355,CGAN with dynamic condition vectors,Classifier/accuracy,1624177069.0911484,13,0.7822265625
14,tensorboard/cgan_with_dynamic_condition_vector/20-06-2021_08h09m/events.out.tfevents.1624176680.c2fd91fbd355,CGAN with dynamic condition vectors,Classifier/accuracy,1624177098.5255198,14,0.78515625
15,tensorboard/cgan_with_dynamic_condition_vector/20-06-2021_08h09m/events.out.tfevents.1624176680.c2fd91fbd355,CGAN with dynamic condition vectors,Classifier/accuracy,1624177128.060142,15,0.6630859375
16,tensorboard/cgan_with_dynamic_condition_vector/20-06-2021_08h09m/events.out.tfevents.1624176680.c2fd91fbd355,CGAN with dynamic condition vectors,Classifier/accuracy,1624177157.515491,16,0.640625
17,tensorboard/cgan_with_dynamic_condition_vector/20-06-2021_08h09m/events.out.tfevents.1624176680.c2fd91fbd355,CGAN with dynamic condition vectors,Classifier/accuracy,1624177187.2780375,17,0.8388671875
18,tensorboard/cgan_with_dynamic_condition_vector/20-06-2021_08h09m/events.out.tfevents.1624176680.c2fd91fbd355,CGAN with dynamic condition vectors,Classifier/accuracy,1624177216.79603,18,0.80859375
19,tensorboard/cgan_with_dynamic_condition_vector/20-06-2021_08h09m/events.out.tfevents.1624176680.c2fd91fbd355,CGAN with dynamic condition vectors,Classifier/accuracy,1624177246.526766,19,0.791015625
