Architecture,Metric,mean,std
AC-GAN,Distance_measures/Bot,0.119,0.017
AC-GAN,Distance_measures/DDoS,0.764,0.108
AC-GAN,Distance_measures/DoS_GoldenEye,0.357,0.004
AC-GAN,Distance_measures/DoS_Hulk,1.469,0.049
AC-GAN,Distance_measures/DoS_Slowhttptest,0.262,0.035
AC-GAN,Distance_measures/DoS_slowloris,0.323,0.024
AC-GAN,Distance_measures/FTP-Patator,0.176,0.037
AC-GAN,Distance_measures/Heartbleed,0.883,0.293
AC-GAN,Distance_measures/Infiltration,0.235,0.068
AC-GAN,Distance_measures/PortScan,0.127,0.023
AC-GAN,Distance_measures/SSH-Patator,0.145,0.018
AC-GAN,Distance_measures/Web_Attack___Brute_Force,0.44,0.265
AC-GAN,Distance_measures/Web_Attack___Sql_Injection,0.148,0.046
AC-GAN,Distance_measures/Web_Attack___XSS,0.424,0.235
AC-WGAN,Distance_measures/Bot,0.164,0.026
AC-WGAN,Distance_measures/DDoS,1.103,0.021
AC-WGAN,Distance_measures/DoS_GoldenEye,0.247,0.049
AC-WGAN,Distance_measures/DoS_Hulk,1.855,0.114
AC-WGAN,Distance_measures/DoS_Slowhttptest,0.149,0.025
AC-WGAN,Distance_measures/DoS_slowloris,0.32,0.055
AC-WGAN,Distance_measures/FTP-Patator,0.157,0.028
AC-WGAN,Distance_measures/Heartbleed,0.844,0.212
AC-WGAN,Distance_measures/Infiltration,0.399,0.025
AC-WGAN,Distance_measures/PortScan,0.172,0.021
AC-WGAN,Distance_measures/SSH-Patator,0.114,0.023
AC-WGAN,Distance_measures/Web_Attack___Brute_Force,0.202,0.028
AC-WGAN,Distance_measures/Web_Attack___Sql_Injection,0.179,0.07
AC-WGAN,Distance_measures/Web_Attack___XSS,0.374,0.244
CGAN,Distance_measures/Bot,0.077,0.006
CGAN,Distance_measures/DDoS,0.897,0.045
CGAN,Distance_measures/DoS_GoldenEye,0.204,0.005
CGAN,Distance_measures/DoS_Hulk,1.912,0.064
CGAN,Distance_measures/DoS_Slowhttptest,0.187,0.037
CGAN,Distance_measures/DoS_slowloris,0.436,0.247
CGAN,Distance_measures/FTP-Patator,0.137,0.001
CGAN,Distance_measures/Heartbleed,0.539,0.094
CGAN,Distance_measures/Infiltration,0.276,0.009
CGAN,Distance_measures/PortScan,0.168,0.008
CGAN,Distance_measures/SSH-Patator,0.087,0.007
CGAN,Distance_measures/Web_Attack___Brute_Force,0.161,0.184
CGAN,Distance_measures/Web_Attack___Sql_Injection,0.085,0.038
CGAN,Distance_measures/Web_Attack___XSS,0.11,0.125
WGAN,Distance_measures/Bot,0.114,0.017
WGAN,Distance_measures/DDoS,1.474,0.503
WGAN,Distance_measures/DoS_GoldenEye,0.345,0.024
WGAN,Distance_measures/DoS_Hulk,2.036,0.24
WGAN,Distance_measures/DoS_Slowhttptest,0.356,0.05
WGAN,Distance_measures/DoS_slowloris,0.263,0.077
WGAN,Distance_measures/FTP-Patator,0.246,0.066
WGAN,Distance_measures/Heartbleed,0.652,0.037
WGAN,Distance_measures/Infiltration,0.385,0.095
WGAN,Distance_measures/PortScan,0.32,0.25
WGAN,Distance_measures/SSH-Patator,0.095,0.012
WGAN,Distance_measures/Web_Attack___Brute_Force,0.196,0.005
WGAN,Distance_measures/Web_Attack___Sql_Injection,0.136,0.009
WGAN,Distance_measures/Web_Attack___XSS,0.44,0.325
