Feature,Attack_Type,Level,Score,Mean Feature val
Flow Duration,Bot,0,0,425136.21
Flow Duration,Bot,1,0,251429.37
Flow Duration,Bot,2,1,7342799.44
Flow Duration,DDoS,0,1,3783744.99
Flow Duration,DDoS,1,1,11120123.23
Flow Duration,DDoS,2,1,23815314.08
Flow Duration,DoS GoldenEye,0,1,4988561.7
Flow Duration,DoS GoldenEye,1,1,6684919.03
Flow Duration,DoS GoldenEye,2,1,21236770.12
Flow Duration,DoS Hulk,0,1,22359087.68
Flow Duration,DoS Hulk,1,1,36911607.77
Flow Duration,DoS Hulk,2,1,57490947.44
Flow Duration,DoS Slowhttptest,0,1,29728000.17
Flow Duration,DoS Slowhttptest,1,1,39441329.14
Flow Duration,DoS Slowhttptest,2,1,61590231.86
Flow Duration,DoS slowloris,0,1,31439272.6
Flow Duration,DoS slowloris,1,1,35030093.54
Flow Duration,DoS slowloris,2,1,66796513.46
Flow Duration,FTP-Patator,0,1,2733807.69
Flow Duration,FTP-Patator,1,0,4653238.23
Flow Duration,FTP-Patator,2,0,3993871.13
Flow Duration,Heartbleed,0,1,14915263.57
Flow Duration,Heartbleed,1,0,37001784.17
Flow Duration,Heartbleed,2,0,34069330.84
Flow Duration,Infiltration,0,1,69511333.47
Flow Duration,Infiltration,1,1,78327026.18
Flow Duration,Infiltration,2,1,85922941.29
Flow Duration,PortScan,0,1,18089.25
Flow Duration,PortScan,1,1,84659.5
Flow Duration,PortScan,2,1,260876.83
Flow Duration,SSH-Patator,0,1,4538430.34
Flow Duration,SSH-Patator,1,1,5627623.81
Flow Duration,SSH-Patator,2,1,6121746.02
Flow Duration,Web Attack  Brute Force,0,1,2590357.38
Flow Duration,Web Attack  Brute Force,1,1,5100491.08
Flow Duration,Web Attack  Brute Force,2,1,30057897.36
Flow Duration,Web Attack  Sql Injection,0,1,242610.5
Flow Duration,Web Attack  Sql Injection,1,1,251848.28
Flow Duration,Web Attack  Sql Injection,2,1,6635893.65
Flow Duration,Web Attack  XSS,0,1,2658215.09
Flow Duration,Web Attack  XSS,1,1,5246246.34
Flow Duration,Web Attack  XSS,2,1,30492731.96
Total Backward Packets,Bot,0,1,2.77
Total Backward Packets,Bot,1,1,4.36
Total Backward Packets,Bot,2,1,13.62
Total Backward Packets,DDoS,0,1,0.76
Total Backward Packets,DDoS,1,1,3.97
Total Backward Packets,DDoS,2,1,7.62
Total Backward Packets,DoS GoldenEye,0,0,1.91
Total Backward Packets,DoS GoldenEye,1,0,1.08
Total Backward Packets,DoS GoldenEye,2,1,2.59
Total Backward Packets,DoS Hulk,0,1,2.1
Total Backward Packets,DoS Hulk,1,1,3.77
Total Backward Packets,DoS Hulk,2,1,6.27
Total Backward Packets,DoS Slowhttptest,0,1,0.06
Total Backward Packets,DoS Slowhttptest,1,1,0.17
Total Backward Packets,DoS Slowhttptest,2,1,0.46
Total Backward Packets,DoS slowloris,0,1,0.11
Total Backward Packets,DoS slowloris,1,1,1.86
Total Backward Packets,DoS slowloris,2,1,1.9
Total Backward Packets,FTP-Patator,0,1,0.96
Total Backward Packets,FTP-Patator,1,1,3.26
Total Backward Packets,FTP-Patator,2,1,8.0
Total Backward Packets,Heartbleed,0,1,150.87
Total Backward Packets,Heartbleed,1,1,957.52
Total Backward Packets,Heartbleed,2,1,1251.79
Total Backward Packets,Infiltration,0,1,20.84
Total Backward Packets,Infiltration,1,1,116.49
Total Backward Packets,Infiltration,2,1,173.88
Total Backward Packets,PortScan,0,1,0.63
Total Backward Packets,PortScan,1,1,4.93
Total Backward Packets,PortScan,2,1,8.42
Total Backward Packets,SSH-Patator,0,1,2.52
Total Backward Packets,SSH-Patator,1,1,10.19
Total Backward Packets,SSH-Patator,2,1,16.05
Total Backward Packets,Web Attack  Brute Force,0,1,0.12
Total Backward Packets,Web Attack  Brute Force,1,0,4.62
Total Backward Packets,Web Attack  Brute Force,2,0,2.89
Total Backward Packets,Web Attack  Sql Injection,0,1,0.29
Total Backward Packets,Web Attack  Sql Injection,1,1,1.05
Total Backward Packets,Web Attack  Sql Injection,2,1,4.21
Total Backward Packets,Web Attack  XSS,0,1,0.12
Total Backward Packets,Web Attack  XSS,1,0,5.26
Total Backward Packets,Web Attack  XSS,2,0,3.01
Total Fwd Packets,Bot,0,1,1.1
Total Fwd Packets,Bot,1,1,2.24
Total Fwd Packets,Bot,2,1,2.48
Total Fwd Packets,DDoS,0,1,2.63
Total Fwd Packets,DDoS,1,1,4.13
Total Fwd Packets,DDoS,2,1,9.01
Total Fwd Packets,DoS GoldenEye,0,1,3.84
Total Fwd Packets,DoS GoldenEye,1,1,6.62
Total Fwd Packets,DoS GoldenEye,2,1,10.03
Total Fwd Packets,DoS Hulk,0,1,4.54
